Czas_s;Szerokosc;Dlugosc;Wysokosc_npm
0;50,05000;21,41000;200,5
5;50,05012;21,41026;201,8
10;50,05023;21,41051;201,1
15;50,05035;21,41077;202,6
20;50,05047;21,41101;203,5
25;50,05059;21,41126;202,9
30;50,05071;21,41152;204,5
35;50,05083;21,41177;204,3
40;50,05095;21,41201;205,8
45;50,05107;21,41226;206,6
50;50,05119;21,41252;206,2
55;50,05131;21,41277;207,7
60;50,05143;21,41301;208,8
65;50,05156;21,41326;208,3
70;50,05168;21,41352;209,4
75;50,05180;21,41377;210,5
80;50,05192;21,41401;210,1
85;50,05204;21,41426;211,7
90;50,05216;21,41452;211,2
95;50,05228;21,41477;212,5
100;50,05240;21,41501;213,6
105;50,05252;21,41526;213,1
110;50,05264;21,41552;215,0
115;50,05276;21,41577;214,4
120;50,05288;21,41601;215,6
125;50,05300;21,41626;216,2
130;50,05312;21,41652;215,8
135;50,05325;21,41677;217,3
140;50,05337;21,41701;218,4
145;50,05349;21,41726;217,9
150;50,05361;21,41752;219,0
155;50,05373;21,41777;220,1
160;50,05385;21,41801;219,7
165;50,05397;21,41826;221,2
170;50,05409;21,41852;220,8
175;50,05421;21,41877;222,0
180;50,05433;21,41901;223,1
185;50,05445;21,41926;222,7
190;50,05457;21,41952;224,5
195;50,05469;21,41977;224,0
200;50,05481;21,42001;225,1
205;50,05489;21,42029;224,8
210;50,05497;21,42057;225,3
215;50,05505;21,42085;224,2
220;50,05513;21,42113;225,9
225;50,05521;21,42141;225,1
230;50,05529;21,42169;226,3
235;50,05537;21,42197;225,7
240;50,05545;21,42225;227,0
245;50,05553;21,42253;226,6
250;50,05561;21,42281;228,1
255;50,05569;21,42309;227,5
260;50,05577;21,42337;228,8
265;50,05585;21,42365;228,2
270;50,05593;21,42393;229,3
275;50,05601;21,42421;228,9
280;50,05609;21,42449;230,0
285;50,05617;21,42477;230,7
290;50,05625;21,42505;230,1
295;50,05633;21,42533;231,2
300;50,05641;21,42561;230,8
305;50,05649;21,42589;232,3
310;50,05657;21,42617;231,7
315;50,05665;21,42645;233,0
320;50,05673;21,42673;232,6
325;50,05681;21,42701;234,1
330;50,05689;21,42729;233,5
335;50,05697;21,42757;234,8
340;50,05705;21,42785;234,2
345;50,05713;21,42813;235,3
350;50,05721;21,42841;234,9
355;50,05729;21,42869;236,0
360;50,05737;21,42897;236,7
365;50,05745;21,42925;236,1
370;50,05753;21,42953;237,2
375;50,05761;21,42981;236,8
380;50,05769;21,43009;238,3
385;50,05777;21,43037;237,7
390;50,05785;21,43065;239,0
395;50,05793;21,43093;238,6
400;50,05801;21,43121;240,1
405;50,05798;21,43150;239,8
410;50,05795;21,43179;240,3
415;50,05792;21,43208;239,2
420;50,05789;21,43237;240,9
425;50,05786;21,43266;240,1
430;50,05783;21,43295;241,3
435;50,05780;21,43324;240,7
440;50,05777;21,43353;242,0
445;50,05774;21,43382;241,6
450;50,05771;21,43411;243,1
455;50,05768;21,43440;242,5
460;50,05765;21,43469;243,8
465;50,05762;21,43498;243,2
470;50,05759;21,43527;244,3
475;50,05756;21,43556;243,9
480;50,05753;21,43585;245,0
485;50,05750;21,43614;245,7
490;50,05747;21,43643;245,1
495;50,05744;21,43672;246,2
500;50,05741;21,43701;245,8
505;50,05738;21,43730;247,3
510;50,05735;21,43759;246,7
515;50,05732;21,43788;248,0
520;50,05729;21,43817;247,6
525;50,05726;21,43846;249,1
530;50,05723;21,43875;248,5
535;50,05720;21,43904;249,8
540;50,05717;21,43933;249,2
545;50,05714;21,43962;250,3
550;50,05711;21,43991;249,9
555;50,05708;21,44020;249,1
560;50,05705;21,44049;248,5
565;50,05702;21,44078;248,8
570;50,05699;21,44107;247,2
575;50,05696;21,44136;247,9
580;50,05693;21,44165;246,3
585;50,05690;21,44194;246,0
590;50,005687;21,44223;245,1
595;50,05684;21,44252;245,5
600;50,05681;21,44281;244,0
